source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/leona/counter,2026-06-06T10:27:14.764376+00:00,Leona,leona,UTILITY,1,Seraphine,seraphine,51.56,4938
u.gg,https://u.gg/lol/champions/leona/counter,2026-06-06T10:27:14.764376+00:00,Leona,leona,UTILITY,2,Taric,taric,51.54,939
u.gg,https://u.gg/lol/champions/leona/counter,2026-06-06T10:27:14.764376+00:00,Leona,leona,UTILITY,3,Zilean,zilean,51.11,1256
u.gg,https://u.gg/lol/champions/leona/counter,2026-06-06T10:27:14.764376+00:00,Leona,leona,UTILITY,4,Renata,renata,50.82,734
u.gg,https://u.gg/lol/champions/leona/counter,2026-06-06T10:27:14.764376+00:00,Leona,leona,UTILITY,5,Velkoz,velkoz,50.65,1696
u.gg,https://u.gg/lol/champions/jayce/counter,2026-06-06T10:27:21.990060+00:00,Jayce,jayce,TOP,1,XinZhao,xinzhao,57.57,1459
u.gg,https://u.gg/lol/champions/jayce/counter,2026-06-06T10:27:21.990060+00:00,Jayce,jayce,TOP,2,Urgot,urgot,55.84,736
u.gg,https://u.gg/lol/champions/jayce/counter,2026-06-06T10:27:21.990060+00:00,Jayce,jayce,TOP,3,Gragas,gragas,55.38,1022
u.gg,https://u.gg/lol/champions/jayce/counter,2026-06-06T10:27:21.990060+00:00,Jayce,jayce,TOP,4,DrMundo,drmundo,55.32,1043
u.gg,https://u.gg/lol/champions/jayce/counter,2026-06-06T10:27:21.990060+00:00,Jayce,jayce,TOP,5,Sion,sion,54.89,2421
u.gg,https://u.gg/lol/champions/yuumi/counter,2026-06-06T10:27:25.682734+00:00,Yuumi,yuumi,UTILITY,1,Maokai,maokai,59.49,622
u.gg,https://u.gg/lol/champions/yuumi/counter,2026-06-06T10:27:25.682734+00:00,Yuumi,yuumi,UTILITY,2,Rell,rell,58.14,1352
u.gg,https://u.gg/lol/champions/yuumi/counter,2026-06-06T10:27:25.682734+00:00,Yuumi,yuumi,UTILITY,3,Alistar,alistar,57.89,1344
u.gg,https://u.gg/lol/champions/yuumi/counter,2026-06-06T10:27:25.682734+00:00,Yuumi,yuumi,UTILITY,4,Rakan,rakan,56.47,1098
u.gg,https://u.gg/lol/champions/yuumi/counter,2026-06-06T10:27:25.682734+00:00,Yuumi,yuumi,UTILITY,5,Thresh,thresh,56.21,4097
