match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8115116023,100,v1_15min,False,420,16.4.748.682,2304,2026-05-14T19:59:29+00:00,-1602,-3,0,-2,0,-47,0.0,-1,0,3,-5
KR_8115116023,200,v1_15min,False,420,16.4.748.682,2304,2026-05-14T19:59:29+00:00,1602,3,0,2,0,47,0.0,1,0,-3,5
KR_8097638482,100,v1_15min,False,420,16.4.746.5697,1534,2026-05-14T19:59:29+00:00,-1762,0,0,-2,0,1,-0.4,-1,0,-5,3
KR_8097638482,200,v1_15min,False,420,16.4.746.5697,1534,2026-05-14T19:59:29+00:00,1762,0,0,2,0,-1,0.4,1,0,5,-3
KR_8097597996,100,v1_15min,False,420,16.4.746.5697,930,2026-05-14T19:59:29+00:00,9164,19,1,-1,0,45,1.6,1,1,-8,8
KR_8097597996,200,v1_15min,True,420,16.4.746.5697,930,2026-05-14T19:59:29+00:00,-9164,-19,-1,1,0,-45,-1.6,-1,-1,8,-8
KR_8097583166,100,v1_15min,False,420,16.4.746.5697,925,2026-05-14T19:59:29+00:00,8018,12,2,1,0,95,1.4,1,1,-2,2
KR_8097583166,200,v1_15min,True,420,16.4.746.5697,925,2026-05-14T19:59:29+00:00,-8018,-12,-2,-1,0,-95,-1.4,-1,-1,2,-2
KR_8097549758,100,v1_15min,True,420,16.4.746.5697,919,2026-05-14T19:59:29+00:00,-11127,-21,-4,-1,0,-71,-1.2,1,-1,6,-7
KR_8097549758,200,v1_15min,False,420,16.4.746.5697,919,2026-05-14T19:59:29+00:00,11127,21,4,1,0,71,1.2,-1,1,-6,7
KR_8090341923,100,v1_15min,False,420,16.3.745.7600,1561,2026-05-14T19:59:29+00:00,4703,3,2,0,0,69,0.4,1,1,6,0
KR_8090341923,200,v1_15min,True,420,16.3.745.7600,1561,2026-05-14T19:59:29+00:00,-4703,-3,-2,0,0,-69,-0.4,-1,-1,-6,0
KR_8090285644,100,v1_15min,False,420,16.3.745.7600,1666,2026-05-14T19:59:29+00:00,3384,5,2,0,0,68,0.6,1,1,-8,3
KR_8090285644,200,v1_15min,False,420,16.3.745.7600,1666,2026-05-14T19:59:29+00:00,-3384,-5,-2,0,0,-68,-0.6,-1,-1,8,-3
